,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Boulevard Soult,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,ARGENTEUIL,AUBERVILLIERS,Boulevard Péripherique Auteuil,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Paris stade Lenglen,0
,PA01H,RN6,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,PA15L,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2019/04/01 02:00:00+00,,6.600000,0.300000,21.200000,13.400000,8.400000,0.200000,1,26.800000,11.200000,,0.500000,4.900000,7.300000,0.100000,0.600000,0.600000,0,,0.300000,0.900000,0,3.300000,0.600000,1,0.800000,0.500000,1.300000,0.200000,1.400000,0,0,0.600000,1.600000,3.200000,0.900000,0.400000,0.100000,4.900000,0,2166
2019/04/01 03:00:00+00,,18.900000,0,61.100000,22.500000,38.600000,0.100000,1.100000,63.800000,20,,0.600000,4.200000,13.100000,0.100000,0.900000,0.700000,0.100000,,0.500000,0.600000,0.100000,6.500000,0.500000,1.300000,1,,1.400000,0.300000,1.400000,0,0.100000,0,1.500000,3,0.700000,0.500000,0.500000,9.100000,0,2167
2019/04/01 04:00:00+00,,75.800000,1.500000,11.500000,63.600000,78.200000,0.400000,1.200000,144.100000,58.700000,,1.200000,3.900000,42.600000,1,1.900000,1.100000,0.400000,,0.700000,1.200000,0.200000,6.800000,0.600000,1.500000,1.500000,,1.300000,0.500000,2.900000,0.200000,0,0.800000,1.800000,4.100000,2.900000,1.300000,1.600000,15.200000,0,2168
2019/04/01 05:00:00+00,,118.200000,11.900000,34.600000,107.500000,136.300000,0.800000,3.400000,216.900000,130.500000,,5.100000,14.800000,108.900000,4.500000,6.200000,0.800000,1.200000,,2.900000,4.200000,0.700000,27.200000,1.800000,2.800000,2.900000,,2.700000,0.800000,14.400000,0.200000,0,1.400000,2.800000,15.200000,2.600000,4,5.300000,43.800000,0.500000,2169
2019/04/01 06:00:00+00,,253.300000,52.300000,91.800000,105.600000,143.300000,2,7.300000,236.500000,151.600000,,30.400000,103.300000,208.400000,8.800000,17.600000,0.700000,6.400000,,8,5.300000,5.300000,34.500000,4.600000,6.600000,19.100000,,12.900000,6.200000,18.900000,6.400000,0,3,3.700000,33.300000,12.100000,6.900000,14.900000,73.700000,3.600000,2170
2019/04/01 07:00:00+00,,201.100000,64,122.100000,113.400000,141.600000,5.700000,15.100000,232.200000,120.400000,,34.800000,130,226.400000,17.600000,27.600000,5,19.800000,,12.400000,23.700000,8.500000,20.800000,14.200000,13.200000,26.200000,,28.100000,20.900000,31.800000,4.700000,1.600000,7.700000,9.800000,47.800000,21.200000,15.200000,25.500000,74,14.500000,2171
2019/04/01 08:00:00+00,,144.300000,48,117.800000,122.900000,161.200000,6.900000,22.700000,237.300000,176.100000,,16.100000,192.700000,232.600000,14.800000,36.300000,11.700000,27.700000,,15.600000,11.200000,9.100000,7.800000,10.300000,14.400000,24.200000,,20.700000,21.900000,36.900000,2,7,11.100000,8.800000,64.800000,23.700000,17.400000,19.400000,81.900000,26.400000,2172
2019/04/01 09:00:00+00,,75.300000,15.900000,112.900000,72.900000,90,7.300000,11.600000,265.300000,153.400000,,8.700000,223.800000,179.300000,8.400000,29.700000,18.900000,23.300000,,12.700000,8.500000,6.500000,7.100000,3.400000,7.200000,28.400000,,11.900000,12,27.400000,0.900000,7.600000,10.200000,6.100000,73.200000,21.300000,7.300000,12.500000,98.800000,26.200000,2173
2019/04/01 10:00:00+00,,81,18.300000,99.400000,54.600000,215,7,6,253.900000,111.500000,,5.900000,159.800000,141.800000,8.500000,28.100000,15.500000,17.500000,,13,10.200000,4.300000,13.300000,1.700000,6.800000,19.200000,,7.300000,8.600000,15.100000,0.700000,5.800000,9.300000,5.400000,48.600000,20.100000,6.200000,12.900000,60.200000,17.300000,2174
2019/04/01 11:00:00+00,,70.300000,12.300000,83.400000,52.800000,122.200000,7.300000,5,207.500000,92.200000,,5.800000,104.700000,90.700000,7.100000,18.400000,13.400000,15.100000,,9.300000,7.800000,1.800000,7.900000,1.600000,3.100000,12.700000,,7.300000,7.400000,11.500000,0.400000,4.400000,6.900000,3.500000,40.100000,15.700000,5.500000,11.800000,61.900000,14,2175
2019/04/01 12:00:00+00,,52,17.300000,65.200000,63.700000,103.200000,6.800000,4.400000,194,106.600000,,5.200000,106.700000,104,4,14.200000,10.400000,15,,8.600000,6.800000,1.300000,15.100000,1.200000,2.400000,9.200000,,5.300000,5.200000,10.600000,0.300000,3.600000,6.100000,3.400000,26.900000,10.600000,3.900000,8.400000,46.800000,9,2176
2019/04/01 13:00:00+00,,45.700000,3.800000,77.700000,31.800000,94.700000,5.300000,2.800000,211.300000,81.700000,,6.200000,102.200000,99.500000,2,10.700000,5.700000,11.200000,,6.400000,7,1,9.200000,1,2.100000,6.300000,,2.700000,2.900000,8.500000,0.100000,2.800000,4.400000,2.100000,22.700000,6,3,4,43.800000,4.900000,2177
2019/04/01 14:00:00+00,,52.400000,6.100000,58.600000,32.900000,108.900000,3.200000,1.500000,158,79,,1.800000,96.900000,84.400000,1.100000,7.300000,2.700000,12.500000,,4.400000,4.200000,0,9.800000,0.500000,2.200000,3.400000,,1.900000,1.900000,5.100000,0.100000,0.300000,2.700000,1.800000,23.200000,3.700000,1.900000,0.900000,54.400000,1.600000,2178
2019/04/01 15:00:00+00,,75,1.400000,57.500000,48.100000,107.600000,5.800000,1.300000,134.500000,49,,1.400000,32.200000,71.100000,0.400000,5.200000,1.700000,12.400000,,3.200000,2.200000,0,7.700000,0.700000,4,2.200000,,1.400000,1.300000,2.800000,0,0.100000,1.700000,1.500000,21.700000,2.500000,2.600000,0.800000,64.900000,0.800000,2179
2019/04/01 16:00:00+00,,97,1.700000,81.900000,66.200000,105,1.400000,1.400000,75.600000,48.300000,,1,49.100000,59,0,6.800000,1.100000,23.400000,,2.100000,1.900000,0,9.400000,0.700000,1.700000,2.400000,,1.200000,0.900000,1.800000,0,0,0.800000,1.500000,30.700000,0.900000,1.900000,0.500000,57.200000,0.100000,2180
2019/04/01 17:00:00+00,,113.800000,1.100000,87.300000,48,117.800000,1.700000,1,68.100000,47.800000,,0.700000,30.800000,57.600000,0.800000,4.200000,0.800000,24.400000,,2.200000,1.300000,0,5.500000,0.300000,1.700000,1.500000,,1.500000,0.800000,2.400000,0,0,0.500000,1.300000,43.300000,0.800000,1.700000,0.600000,58.600000,0,2181
2019/04/01 18:00:00+00,,86.400000,0.100000,86.600000,39,115,0.700000,0.900000,50.800000,31.900000,,0.400000,22.600000,52.500000,0.300000,2.700000,0.400000,12,,2,1,0,3.400000,0.300000,2.200000,1.400000,,0.900000,0.400000,2.500000,0,0,0.100000,1.600000,69.100000,0.500000,1.500000,0.400000,27.400000,0,2182
2019/04/01 19:00:00+00,,112.100000,0.200000,71.300000,103.800000,107.300000,7.400000,1.100000,34.400000,30.300000,,0.400000,20.700000,66,3.300000,1.800000,0.800000,2.300000,,2.100000,1.100000,0,7.800000,0.100000,1.600000,1.100000,,0.600000,0.300000,2,0,0,0.200000,1.500000,33.700000,0.800000,1.500000,0.500000,56,0,2183
2019/04/01 20:00:00+00,,102,6.400000,44.800000,89.400000,145.800000,1,1.900000,49.100000,35.600000,,0.500000,22.900000,83.600000,0,1.200000,0.600000,2.400000,,3.800000,1.200000,0,49,0.300000,1.600000,1.400000,,0.900000,0.300000,2.100000,0,0,1.400000,1.300000,19.200000,0.600000,1.600000,0.200000,55.400000,0,2184
2019/04/01 21:00:00+00,,57.300000,0.800000,42,77.100000,124,1,1.300000,59.800000,42,,1.300000,19.700000,50.700000,4,1,0.500000,3.800000,,5,1,0,55.700000,0.500000,1.700000,0.800000,,0.300000,0.300000,1.100000,0,0,4.400000,2.400000,18.500000,1.300000,0.800000,0.200000,37.400000,0,2185
2019/04/01 22:00:00+00,,29.100000,0.900000,30.500000,45.600000,84.200000,2.200000,1,34.200000,17.900000,,0.500000,18.200000,32.300000,0.700000,1.400000,0.800000,2.300000,,2,0.400000,0,26.200000,0.200000,2.100000,1,,0.900000,0.400000,1.400000,0,0,3.100000,1.800000,16.100000,0.700000,1,0,24.600000,0,2186
2019/04/01 23:00:00+00,,21.700000,0,23.600000,50,56,0.700000,0.900000,49.100000,14.500000,,0.300000,16.400000,11.700000,0.400000,1,0.600000,3.800000,,0.500000,0.800000,0,29.500000,0.500000,2.400000,0.700000,,0.600000,0.300000,1.100000,0,0.100000,2.300000,1.500000,15.300000,0.400000,0.500000,0.100000,13.500000,0,2187
2019/04/02 00:00:00+00,,7.200000,0,13.900000,45.200000,35.600000,1.200000,0.800000,34,26.400000,,0.300000,15.300000,6.800000,0,0.700000,1.100000,3,,0.200000,0.800000,0,6.800000,0.400000,2.300000,0.700000,,0.400000,0.200000,1,0,0,0,1.300000,11,0.300000,0.500000,0.200000,14.100000,0,2188
2019/04/02 01:00:00+00,,16.900000,0.100000,8.600000,52.100000,30.700000,0.300000,0.900000,21.700000,26.900000,,0.300000,16.200000,9.800000,0.100000,0.600000,0.400000,3.100000,,0.300000,1,0,11.500000,0.600000,2.100000,0.600000,,0.800000,0.100000,0.600000,0,0,0.300000,1.300000,6.500000,0.500000,0.700000,0.200000,12.600000,0,2189
2019/04/02 02:00:00+00,,15.500000,0,5.300000,125.600000,47.900000,1.700000,0.700000,15.400000,27.600000,,0.100000,19,6,0,0.600000,1.100000,6,,0.400000,1.100000,0,5.400000,0.500000,1.100000,0.700000,,1.100000,0.200000,0.600000,0,0,0.700000,1.300000,6.100000,0.400000,0.700000,0.600000,9.800000,0,2190
2019/04/02 03:00:00+00,,20.400000,0.100000,9.600000,82.600000,59.500000,3.500000,0.900000,33.200000,59,,0.400000,3.200000,0.700000,0.200000,0.400000,0.200000,1,,0.500000,1.100000,0,2,0.900000,0.800000,0.600000,,0.700000,0.300000,0.600000,0,0,0.600000,1.200000,5.900000,0.300000,0.500000,1.200000,13.600000,0,2191
2019/04/02 04:00:00+00,,52.400000,1,15.100000,169.400000,70.800000,0.700000,0.500000,46.500000,110.800000,,0.300000,10.300000,4.500000,0.400000,0.300000,0.400000,2.200000,,0.500000,0.900000,0,3.800000,1.100000,0.800000,0.800000,,0.900000,0.200000,0.600000,0,0,0.400000,1.400000,7.800000,0.600000,0.900000,0.500000,22.800000,0,2192
2019/04/02 05:00:00+00,,65.400000,7.800000,39.600000,263.200000,103,5.300000,1.100000,109.100000,151.700000,,0.800000,12.600000,9.700000,2.300000,1.700000,0.700000,8.300000,,0.700000,0.700000,0.200000,45.300000,3.900000,1.300000,1.700000,,1.400000,1.200000,0.800000,0,0,1.700000,1.200000,14.700000,0.400000,1.200000,0.500000,40.400000,0,2193
2019/04/02 06:00:00+00,,121.800000,96.700000,92.800000,251.700000,136.800000,6.400000,4.300000,194.600000,132.900000,,2.400000,72,29.500000,4.300000,4.900000,0.600000,21.200000,,1,1.200000,1.200000,15.100000,2.500000,2.300000,2.500000,,3.900000,2.800000,1.900000,0,0,1.200000,3.200000,41.500000,0.800000,2.900000,3.700000,78.100000,0,2194
2019/04/02 07:00:00+00,,167.500000,103.100000,113,218,42.300000,7.800000,5.800000,186.800000,111.200000,,2.800000,93.500000,69.100000,7.400000,4.800000,0.700000,33.600000,,0.900000,1.500000,1.400000,20,5.100000,4.100000,3,,7.600000,4.600000,2.600000,0,0,3.300000,5.200000,62.700000,3,3.700000,8.300000,31.400000,0.300000,2195
2019/04/02 08:00:00+00,,224.600000,86.800000,167.400000,248.200000,215.800000,6.900000,7.200000,172,224.100000,,8.900000,147.600000,128.100000,6.100000,15.900000,0.600000,61.300000,,6.400000,5.700000,2.100000,13.300000,5.200000,2.400000,14.400000,,9.100000,4.100000,5.600000,0.100000,0.600000,7.700000,3.300000,97.800000,12,4.700000,6.200000,111.900000,1.500000,2196
2019/04/02 09:00:00+00,,131.900000,102.300000,213.900000,172.900000,181.600000,11.800000,30.700000,162.400000,207.100000,,31.200000,207.200000,73.200000,14.300000,19.600000,4,67.200000,,14.100000,24.400000,3.400000,8.500000,5,4.200000,21.200000,,25.800000,25.700000,12.500000,0,0.500000,,5.900000,102.900000,3.300000,13.600000,11.600000,167.600000,7.200000,2197
2019/04/02 10:00:00+00,,76.600000,26.800000,115.300000,111,154.500000,9.700000,12.200000,124.200000,110.400000,,12.200000,167.600000,37.400000,5.300000,9.200000,4.100000,35.800000,,6.700000,14.200000,3.900000,4.100000,3.900000,4.800000,9.700000,,13.300000,10.700000,10.500000,0.100000,0.100000,17.100000,9,59.300000,2.900000,7.300000,5.600000,94.300000,3.900000,2198
2019/04/02 11:00:00+00,,55.600000,12.400000,88.100000,80.100000,67.900000,,,105.900000,104.200000,,6.400000,112.700000,20,3.700000,5.200000,3.100000,26.600000,,2.800000,6.600000,1.300000,,3.300000,2.300000,4.700000,,6.500000,4.800000,5.800000,0.100000,0.100000,8.300000,5.900000,34.900000,1.300000,4.200000,3.100000,42.400000,1.800000,2199
2019/04/02 12:00:00+00,,39.900000,10.900000,80.400000,76.400000,57.600000,5.500000,,59.200000,90.600000,,2.900000,32.600000,14.800000,2.300000,3.400000,1.800000,24.100000,,1.600000,2.800000,1.300000,,2.100000,1.500000,3.300000,,4.400000,3.300000,3.600000,0,0,5.100000,3.400000,36.200000,1.500000,2.200000,2.200000,39.300000,0.700000,2200
2019/04/02 13:00:00+00,,53.100000,6.600000,66.600000,69.300000,64.700000,4.100000,4.700000,53.100000,104.700000,,2.100000,30.700000,11.400000,2.700000,3,1.200000,18.800000,,,1.900000,1.100000,,2.100000,1.700000,2.300000,,3,1.900000,3,0.100000,0.100000,4.300000,2.800000,30.100000,1.400000,1.400000,2.100000,11.900000,0.300000,2201
2019/04/02 14:00:00+00,,40.700000,8.900000,85.500000,61.900000,29.800000,4.100000,4.200000,109.800000,130.100000,,2.200000,20.300000,17,2.900000,4.100000,1.700000,20,,,2.100000,1.200000,,3.100000,1.900000,2.300000,,3.400000,2.200000,3.600000,0.100000,0.200000,7.600000,2.700000,58.400000,1.500000,2.100000,2.600000,12.900000,0.900000,2202
2019/04/02 15:00:00+00,,62.200000,4.800000,85.400000,88.400000,20.600000,4.800000,3.700000,75.200000,132.200000,,1.500000,36.300000,25.500000,2.800000,3.700000,1.600000,19.500000,,1,1.300000,1.200000,5.600000,4,2,2.300000,,2.400000,2,2.900000,0,0,3.800000,2.900000,66.900000,1.500000,1.900000,2.800000,13.300000,0.100000,2203
2019/04/02 16:00:00+00,,84.700000,14.800000,73.500000,108.500000,16.900000,3,2.300000,72.700000,116.100000,,1.400000,48.400000,16,2.200000,5.500000,0.900000,22.400000,,0.600000,1,0.800000,6.100000,3.800000,1.500000,2.600000,,2.100000,1.300000,2.100000,0,0,2.900000,2.400000,54.400000,1.800000,1.400000,2.900000,8.600000,0.100000,2204
2019/04/02 17:00:00+00,,67.700000,14.100000,76,73.900000,2.600000,2.200000,1.600000,72.400000,99.600000,,0.700000,66.900000,33.600000,1.500000,5,0.700000,26.500000,,0.800000,1.100000,0,4.100000,4.100000,1.800000,2.600000,,4.400000,0.900000,3.600000,0,0,5.600000,3.200000,58.900000,2.500000,1.700000,3.300000,13.400000,0.600000,2205
2019/04/02 18:00:00+00,,32,6.600000,69.300000,88.600000,6.200000,3.500000,1.200000,90.900000,160.700000,,0.500000,37.900000,28.400000,1.300000,4.900000,0.700000,23.700000,,0.700000,0.800000,0.200000,5.500000,2.800000,1.400000,2.600000,,3.300000,0.600000,3.300000,0,0,3.700000,2.800000,66.400000,1.500000,0.800000,2.900000,12.500000,0,2206
2019/04/02 19:00:00+00,,39.200000,4.900000,82.600000,136.700000,4,3.900000,0.700000,142.200000,153.500000,,0.200000,29,29.400000,1.200000,3.900000,0.500000,24.100000,,0.400000,0.700000,0,3.800000,1.700000,1,1.900000,,2.400000,0.500000,1.900000,0,0,1.900000,1.900000,52,0.700000,0.700000,2.100000,9.700000,0.100000,2207
2019/04/02 20:00:00+00,,31.100000,3.300000,36.100000,117.500000,38.800000,2.800000,0.600000,101.800000,157.500000,,0.200000,17.200000,16,1.200000,1.700000,0.600000,15.300000,,0.200000,0.900000,0.100000,3.500000,0.900000,0.700000,2,,1.200000,0.400000,1.500000,0,0,0.700000,2.100000,22.300000,0.600000,0.600000,1.400000,11.300000,0,2208
2019/04/02 21:00:00+00,,30.200000,3.100000,40.100000,104.500000,48.500000,3.100000,0.800000,62.800000,132.400000,,0.300000,26.400000,11.300000,0.900000,1.700000,1.500000,11,,0.300000,0.800000,0,3.400000,0.700000,1,1.400000,,1.100000,0.500000,1.200000,0,0,0.800000,2.100000,22.700000,0.400000,0.500000,0.900000,18.100000,0,2209
2019/04/02 22:00:00+00,,12.100000,3.300000,30,83.200000,46.600000,1.900000,0.700000,56.300000,90,,0.100000,27.100000,5.900000,0.300000,1.900000,0.600000,7.700000,,0.300000,0.700000,0,2.100000,0.700000,0.500000,1.500000,,1,0.500000,1.200000,0,0,0.100000,1.900000,24.300000,0.400000,0.500000,0.300000,25.200000,0,2210
2019/04/02 23:00:00+00,,9.300000,0.500000,23,48.700000,56,0.600000,0.700000,34.100000,75.200000,,0.100000,24,3.300000,0,1.100000,1.300000,5,,0.500000,0.800000,0,1.300000,0.500000,0.500000,1.100000,,0.700000,0.500000,1.200000,0,0,0,1.100000,24.100000,0.500000,0.200000,0.200000,19,0,2211
2019/04/03 00:00:00+00,,6.800000,0.800000,13.400000,41,26.800000,0.900000,0.600000,18.300000,42.500000,,0.100000,10.200000,2,0,1,1.400000,4,,0.500000,0.700000,0,0.400000,0.900000,0.600000,0.800000,,0.800000,0.300000,0.800000,0,0,0,1.100000,5.900000,0.300000,0.300000,0.200000,14.200000,0,2212
2019/04/03 01:00:00+00,,5.900000,1.300000,6.600000,37.100000,22.100000,0.300000,0.300000,15.100000,47,,0.100000,3.400000,1,0.200000,0.800000,0.900000,2.400000,,0.600000,1,0,0.200000,0.100000,0.600000,0.900000,,0.700000,0.200000,0.700000,0,0,0,2.300000,6,0.400000,0.300000,0.100000,5.700000,0,2213
2019/04/03 02:00:00+00,,6.600000,0.300000,5.300000,56,26.900000,0.400000,0.200000,14.400000,42.500000,,0,1.700000,1.100000,0,0.600000,1.300000,1.700000,,0.500000,0.800000,0,0.300000,0.600000,0.500000,1.200000,,1,0.300000,0.600000,0,0,0,1.500000,5.600000,0.500000,0.200000,0.200000,9.300000,0,2214
2019/04/03 03:00:00+00,,14,0.400000,7.300000,104.300000,18.200000,2.500000,0.100000,49,90.700000,,0,2.300000,1.600000,0,0.600000,0.800000,2.300000,,0.200000,0.600000,0,1.400000,0.200000,0.600000,1.100000,,1,0.200000,0.900000,0,0,0,1.400000,5.400000,0.500000,0.800000,0.200000,2.900000,0,2215
2019/04/03 04:00:00+00,,20.400000,4.800000,15.200000,219.200000,75.900000,7.400000,0.900000,94.100000,81.400000,,0.200000,4.800000,6.600000,1.100000,0.700000,1.200000,1.600000,,0.800000,0.700000,0.100000,1,0.500000,0.800000,1.800000,,1.100000,0.300000,1.100000,0,0,0,1.400000,6.200000,0.300000,0.100000,0.400000,24.100000,0,2216
2019/04/03 05:00:00+00,,40.800000,14.400000,42.300000,312.600000,133.500000,13.100000,3.100000,168.500000,128.100000,,0.700000,27.800000,13.100000,3.300000,3,1.500000,10.800000,,0.900000,1.500000,0.100000,4.900000,3,1.600000,4.100000,,2.400000,1.600000,2.400000,0,0,0.300000,1.900000,24.500000,0.900000,1.700000,1.600000,70.900000,0,2217
2019/04/03 06:00:00+00,,121.600000,58,79.200000,298.300000,168.100000,10.900000,7.500000,252.800000,135.300000,,2.400000,80.300000,44.100000,4.200000,12.400000,1.900000,29.100000,,1.300000,1.700000,2.100000,11.100000,4.100000,2.400000,8,,8.500000,5.400000,3.400000,0,0,3.600000,5.100000,33.400000,2.200000,1.600000,3.500000,97.700000,0.500000,2218
2019/04/03 07:00:00+00,,133.800000,54.800000,121,339.500000,102.900000,12.200000,9.300000,173.300000,202.400000,,4.200000,82,54,7.400000,11.800000,3,41.800000,,3.300000,5.600000,2.900000,9.100000,5.800000,5.200000,8.700000,,8.300000,8,6.500000,0.200000,0,9.900000,5.300000,56.900000,3.400000,3,6.500000,93.700000,2.900000,2219
2019/04/03 08:00:00+00,,114.400000,33.600000,140,200.500000,147.500000,11.400000,11.400000,122.400000,214,,6.900000,109.800000,36.100000,5.200000,14.700000,4.400000,36,,5.200000,4.600000,3.200000,7.300000,5.300000,6.500000,7.900000,,9.900000,9,6.500000,0.200000,0.100000,13.900000,7.100000,59.500000,2.700000,3.800000,5,101.200000,3.100000,2220
2019/04/03 09:00:00+00,,90.500000,18.500000,115.400000,146.700000,100.400000,6.800000,9.900000,167.900000,155.100000,,6.300000,114.900000,16.500000,4.300000,8.600000,3,38.800000,,3.400000,5.400000,2.500000,5.500000,3,4.600000,5.600000,,7.100000,6.300000,5.500000,0.100000,0,13.700000,4.700000,64.200000,2.500000,5.100000,4.800000,82.400000,2.400000,2221
2019/04/03 10:00:00+00,,71.400000,17.300000,107.400000,166.500000,55.900000,6,5.900000,131.600000,187.700000,,5.300000,116.600000,31.700000,4.800000,,2.900000,26,,3.300000,5,1.900000,5,5.100000,3.600000,4.400000,,5.700000,5.200000,4.800000,0,0,11.400000,5.100000,44.800000,1.600000,3.200000,2.900000,60.800000,1.600000,2222
2019/04/03 11:00:00+00,,71.500000,13.300000,103.200000,122.500000,129.200000,5.100000,5.100000,101.300000,142.100000,,3.800000,50.700000,27.600000,4.700000,,2.900000,21.900000,,2.300000,3.800000,1.500000,4.500000,5.600000,3.100000,4.800000,,5.700000,4.300000,4.300000,0.100000,0,5.600000,3.800000,41.500000,1.800000,3.200000,4,61.300000,1,2223
2019/04/03 12:00:00+00,,62.700000,12.700000,98.100000,110.400000,85.100000,6.100000,4.200000,79.400000,134.700000,,3.500000,44.700000,20.300000,3.700000,6.300000,2.600000,28.600000,,2.800000,2.700000,1.500000,10,3.800000,3.600000,4.800000,,4.500000,3.600000,4.200000,0.100000,0,7.500000,5.300000,48.600000,1.500000,2.900000,3,26,1.100000,2224
2019/04/03 13:00:00+00,,57.800000,10.300000,77.200000,102,49.700000,7,4.200000,100.400000,136,,2.800000,33.500000,18.500000,3.900000,4.900000,1.800000,27.400000,,1.700000,2.500000,1.900000,13.700000,,3.100000,4.100000,,4.700000,2.900000,4.500000,0,0.100000,7.900000,4,46.700000,1.600000,2.700000,3.700000,32.500000,1,2225
2019/04/03 14:00:00+00,,56.600000,9.400000,88,102,34.100000,5,3.300000,96.500000,123.100000,,2.600000,42.200000,10.200000,4.400000,4.600000,1.900000,26.700000,,1.700000,2.500000,1.400000,5.500000,4.900000,2.300000,3.800000,,,2.100000,4.600000,0.100000,0,5.900000,3.100000,47.300000,1.500000,1.900000,3.300000,21.100000,1.100000,2226
2019/04/03 15:00:00+00,,64.500000,11.900000,84.900000,152.900000,52.800000,6.300000,3.300000,71.200000,125.300000,,1.400000,33,27.400000,2.800000,4,2.700000,27.300000,,1.100000,2.200000,1.300000,3.400000,5.600000,1.900000,2.900000,,3,1.800000,3.200000,0,0,3.300000,3.600000,58.800000,1.700000,1.300000,3,45,0.400000,2227
2019/04/03 16:00:00+00,,85,14.100000,93,124.600000,26.400000,4,2.800000,82.100000,131.400000,,1.400000,29.400000,25.100000,3.100000,5.900000,1.600000,26.300000,,1.100000,1.600000,1.200000,6.800000,2.400000,1.700000,2.800000,,2.500000,1.400000,2.800000,0,0,2.800000,2.400000,62.500000,1.700000,1.400000,3.300000,32.400000,0,2228
2019/04/03 17:00:00+00,,97.400000,15.400000,112.800000,124.900000,32.400000,5.900000,3,84.400000,114.300000,,0.900000,62.200000,22.100000,2.400000,7.700000,1.600000,26,,1.100000,1.600000,1,10.800000,3,1.900000,2.100000,,2.500000,1.400000,2.100000,0,0,2.400000,2.200000,53.500000,1.700000,0.900000,3.700000,25.300000,0,2229
2019/04/03 18:00:00+00,,67.800000,10.900000,84.900000,141.300000,16.300000,3.500000,2.100000,107.600000,122.900000,,0.900000,28.200000,27.800000,2.900000,3.700000,1.400000,28.600000,,0.900000,1.500000,0,7.500000,2,1.200000,2.700000,,2.400000,1.300000,3.300000,0,5.400000,2.600000,2.100000,40.400000,1.700000,0.700000,3.400000,20,0.400000,2230
2019/04/03 19:00:00+00,,72.200000,9,93.600000,108.800000,1,3.500000,1.100000,123.900000,124.700000,,0,39.600000,42.800000,1.400000,1.800000,0.800000,21.600000,,0.800000,0.800000,0.200000,7.300000,2.100000,1,2.900000,,3.700000,0.600000,3.900000,0,0.500000,2.900000,1.700000,33.600000,2.400000,0.700000,2.400000,21.600000,0,2231
